Timestamp,Object_Label,Confidence
2025-11-28 08:11:47.147444,person,0.83
2025-11-28 08:11:47.216144,person,0.92
2025-11-28 08:11:47.216144,person,0.82
2025-11-28 08:11:47.273280,person,0.92
2025-11-28 08:11:47.274279,person,0.80
2025-11-28 08:11:47.327855,person,0.91
2025-11-28 08:11:47.328859,person,0.83
2025-11-28 08:11:47.383480,person,0.92
2025-11-28 08:11:47.384480,person,0.83
2025-11-28 08:11:47.451105,person,0.92
2025-11-28 08:11:47.451105,person,0.74
2025-11-28 08:11:47.506199,person,0.91
2025-11-28 08:11:47.506199,person,0.76
2025-11-28 08:11:47.562458,person,0.91
2025-11-28 08:11:47.562458,person,0.68
2025-11-28 08:11:47.618570,person,0.91
2025-11-28 08:11:47.618570,person,0.70
2025-11-28 08:11:47.737692,person,0.91
2025-11-28 08:11:47.738698,person,0.60
2025-11-28 08:11:47.791584,person,0.92
2025-11-28 08:11:47.792582,person,0.69
2025-11-28 08:11:47.852965,person,0.91
2025-11-28 08:11:47.853964,person,0.70
2025-11-28 08:11:47.908657,person,0.91
2025-11-28 08:11:47.908657,person,0.87
2025-11-28 08:11:47.965276,person,0.91
2025-11-28 08:11:47.965276,person,0.86
2025-11-28 08:11:48.021981,person,0.91
2025-11-28 08:11:48.021981,person,0.86
2025-11-28 08:11:48.091425,person,0.91
2025-11-28 08:11:48.092425,person,0.89
2025-11-28 08:11:48.147699,person,0.92
2025-11-28 08:11:48.147699,person,0.89
2025-11-28 08:11:48.203361,person,0.92
2025-11-28 08:11:48.204373,person,0.90
2025-11-28 08:11:48.259964,person,0.92
2025-11-28 08:11:48.260970,person,0.89
2025-11-28 08:11:48.315344,person,0.91
2025-11-28 08:11:48.316349,person,0.89
2025-11-28 08:11:48.371353,person,0.92
2025-11-28 08:11:48.372356,person,0.88
2025-11-28 08:11:48.429177,person,0.92
2025-11-28 08:11:48.430183,person,0.90
2025-11-28 08:11:48.485794,person,0.92
2025-11-28 08:11:48.485794,person,0.89
2025-11-28 08:11:48.542408,person,0.92
2025-11-28 08:11:48.543409,person,0.89
2025-11-28 08:11:48.599545,person,0.92
2025-11-28 08:11:48.600552,person,0.85
2025-11-28 08:11:48.658215,person,0.92
2025-11-28 08:11:48.659221,person,0.88
2025-11-28 08:11:48.716316,person,0.92
2025-11-28 08:11:48.717315,person,0.89
2025-11-28 08:11:48.771987,person,0.92
2025-11-28 08:11:48.772988,person,0.89
2025-11-28 08:11:48.828854,person,0.91
2025-11-28 08:11:48.828854,person,0.89
2025-11-28 08:11:48.884439,person,0.90
2025-11-28 08:11:48.885440,person,0.88
2025-11-28 08:11:48.941875,person,0.91
2025-11-28 08:11:48.941875,person,0.87
2025-11-28 08:11:48.996420,person,0.92
